point,phos_ox,sil_ox,tit_ox,alu_ox,cro_ox,mag_ox,cal_ox,man_ox,fer_ox,nic_ox,sod_ox,pot_ox
1.1,0,48.729,1.655,9.065,0.038,14.831,19.111,0.129,4.795,0,1.388,0.009
1.2,0,48.499,1.687,9.075,0.051,14.82,19.358,0.119,4.825,0,1.383,0.006
1.3,0,48.683,1.782,9.108,0.082,14.704,19.283,0.143,4.712,0,1.394,0.01
1.4,0,48.681,1.761,8.804,0.065,14.908,19.445,0.105,4.659,0,1.168,0.001
1.5,0,47.381,2.01,8.346,0.103,14.862,21.385,0.103,4.576,0,0.497,0.002
1.6,0,49.965,1.12,6.529,0.106,16.262,21.703,0.113,3.67,0,0.531,0.007
1.7,0,48.408,1.606,8.039,0.084,15.015,21.551,0.127,4.43,0,0.618,0.001
1.8,0,48.587,1.704,7.553,0.078,15.32,21.757,0.122,4.446,0,0.538,0
1.9,0,49.078,1.577,9.051,0.039,14.816,19.234,0.123,4.811,0,1.376,0
1.1_0,0,48.946,1.552,9.007,0.045,14.78,19.324,0.12,4.783,0,1.378,0.018
