point,phos_ox,sil_ox,tit_ox,alu_ox,cro_ox,mag_ox,cal_ox,man_ox,fer_ox,nic_ox,sod_ox,pot_ox
2.1,0.004,40.511,0,0.039,0.03,46.902,0.132,0.174,13.51,0.332,0,0
2.2,0.004,40.157,0,0.047,0.01,46.76,0.107,0.2,13.844,0.332,0,0
2.3,0,40.384,0,0.035,0.024,46.864,0.114,0.188,13.794,0.326,0,0
2.4,0.023,40.282,0,0.027,0.028,46.665,0.12,0.197,13.685,0.332,0,0
2.5,0.022,40.373,0,0.046,0.039,46.832,0.109,0.192,13.798,0.342,0,0
2.6,0.009,40.171,0,0.044,0.009,46.504,0.113,0.196,13.641,0.336,0,0
2.7,0,40.045,0,0.04,0.018,46.758,0.111,0.196,13.738,0.328,0,0
2.8,0.009,40.273,0,0.037,0,46.649,0.104,0.201,13.843,0.35,0,0
2.9,0.007,40.089,0,0.055,0,46.751,0.106,0.187,13.635,0.342,0,0
2.1_0,0,40.101,0,0.031,0.028,46.753,0.113,0.192,13.667,0.32,0,0
2.11,0.006,40.15,0,0.05,0,46.731,0.107,0.185,13.835,0.326,0,0
2.12,0,40.3,0,0.057,0.031,46.841,0.107,0.185,13.802,0.353,0,0
2.13,0,40.094,0,0.049,0.029,46.743,0.115,0.184,13.726,0.335,0,0
2.14,0.001,40.238,0,0.038,0,46.904,0.107,0.2,13.787,0.35,0,0
2.15,0.002,40.299,0,0.044,0.034,46.748,0.117,0.202,13.787,0.329,0,0
