point,phos_ox,sil_ox,tit_ox,alu_ox,cro_ox,mag_ox,cal_ox,man_ox,fer_ox,nic_ox,sod_ox,pot_ox
3.1,0,0.133,0.427,55.144,9.021,19.189,0.006,0.128,15.606,0.372,0,0
3.2,0,0.115,0.463,55.267,9.049,19.48,0.009,0.118,15.532,0.373,0,0
3.3,0,0.134,0.427,55.078,9,19.331,0,0.111,15.581,0.363,0,0
3.4,0,0.11,0.429,55.12,9.061,19.173,0,0.119,15.834,0.367,0,0
3.5,0,0.117,0.394,55.375,9.059,19.288,0.007,0.114,15.638,0.393,0,0
3.6,0,0.11,0.422,55.524,9.086,19.664,0.034,0.12,15.262,0.394,0,0
3.7,0,0.117,0.436,55.087,9.165,19.298,0.002,0.127,15.673,0.405,0,0
3.8,0,0.117,0.427,55.215,9.109,19.225,0,0.101,15.772,0.4,0,0
3.9,0,0.131,0.43,55.465,9.139,19.336,0.018,0.128,15.768,0.359,0,0
3.1_0,0,0.115,0.428,55.727,9.079,19.508,0.04,0.121,15.311,0.405,0,0
3.11,0,0.144,0.425,55.199,9.061,19.342,0,0.146,15.792,0.392,0,0
3.12,0,0.118,0.444,54.874,9.198,19.16,0.001,0.117,15.854,0.367,0,0
3.13,0,0.11,0.416,55.268,9.239,19.27,0,0.129,15.831,0.368,0,0
3.14,0,0.118,0.424,55.173,9.188,19.249,0,0.13,15.708,0.376,0,0
3.15,0,0.133,0.447,55.21,9.177,19.218,0.013,0.108,15.878,0.393,0,0
3.16,0,0.139,0.433,55.212,9.274,19.293,0.004,0.098,15.846,0.364,0,0
3.17,0,0.142,0.468,55.072,9.214,19.326,0.006,0.11,15.757,0.365,0,0
3.18,0,0.117,0.424,55.219,9.176,19.417,0.007,0.104,15.789,0.373,0,0
3.19,0,0.122,0.428,54.985,9.134,19.34,0,0.119,15.791,0.364,0,0
3.2_0,0,0.11,0.437,55.227,9.34,19.18,0,0.112,15.971,0.355,0,0
3.21,0,0.11,0.43,54.941,9.221,19.512,0,0.118,15.682,0.357,0,0
3.22,0,0.119,0.437,55.138,9.196,19.393,0,0.125,15.75,0.367,0,0
3.23,0,0.131,0.426,55.048,9.217,19.366,0,0.123,15.706,0.372,0,0
3.24,0,0.127,0.433,55.337,9.336,19.3,0,0.109,15.727,0.377,0,0
3.25,0,0.101,0.432,55.003,9.157,19.226,0.002,0.132,15.819,0.376,0,0
3.26,0,0.106,0.435,55,9.009,19.397,0,0.115,15.767,0.387,0,0
