point,phos_ox,sil_ox,tit_ox,alu_ox,cro_ox,mag_ox,cal_ox,man_ox,fer_ox,nic_ox,sod_ox,pot_ox
5.13,0,50.726,0.644,7.528,0.747,15.622,18.994,0.135,5.009,0,1.394,0.009
5.14,0,50.676,0.58,7.458,0.815,15.627,19.036,0.126,5.03,0,1.39,0.003
5.15,0,50.584,0.642,7.383,0.779,15.632,19.008,0.134,5.028,0,1.352,0.002
5.16,0,50.456,0.646,7.412,0.733,15.536,18.834,0.131,5.078,0,1.391,0
5.17,0,50.221,0.645,7.406,0.745,15.539,18.923,0.153,5.013,0,1.362,0.003
5.18,0,50.734,0.645,7.492,0.801,15.599,18.997,0.132,4.979,0,1.404,0.005
5.19,0,50.449,0.571,7.399,0.835,15.599,19.035,0.141,5.024,0,1.364,0
5.2_0,0,50.658,0.606,7.431,0.831,15.534,19.026,0.141,4.974,0,1.379,0.005
5.21,0,50.601,0.59,7.39,0.838,15.655,18.981,0.101,4.841,0,1.356,0
5.22,0,51.051,0.604,7.547,0.808,15.812,18.998,0.117,5.079,0,1.4,0
5.23,0,50.492,0.597,7.36,0.829,15.547,19.145,0.137,4.959,0,1.352,0.002
5.24,0,50.571,0.674,7.478,0.745,15.524,19.104,0.134,5.011,0,1.34,0.011
5.25,0,50.409,0.693,7.427,0.745,15.445,19.041,0.128,5.046,0,1.347,0.006
5.26,0,50.541,0.648,7.395,0.817,15.495,19.008,0.121,5.092,0,1.394,0.007
