point,phos_ox,sil_ox,tit_ox,alu_ox,cro_ox,mag_ox,cal_ox,man_ox,fer_ox,nic_ox,sod_ox,pot_ox
5 / 1 . ,0,53.489,0.17,5.644,0.445,30.722,1.221,0.18,9.113,0,0.136,0
5 / 3 . ,0,53.659,0.196,5.699,0.434,30.834,1.246,0.189,9.029,0,0.141,0
5 / 4 . ,0,53.415,0.221,5.607,0.422,30.593,1.222,0.171,9.039,0,0.125,0.008
5 / 5 . ,0,53.56,0.182,5.581,0.443,30.821,1.168,0.18,9.105,0,0.126,0
5 / 6 . ,0,53.489,0.174,5.425,0.437,31.051,1.091,0.181,9.034,0,0.127,0.007
5 / 7 . ,0,53.233,0.206,5.696,0.42,30.515,1.239,0.205,9.106,0,0.135,0.005
5 / 8 . ,0,53.382,0.2,5.723,0.42,30.71,1.199,0.181,9.232,0,0.119,0
5 / 9 . ,0,53.314,0.203,5.652,0.437,30.692,1.248,0.184,9.04,0,0.117,0
5 / 10 . ,0,54.031,0.209,5.702,0.435,31.142,1.221,0.166,9.081,0,0.144,0
5 / 11 . ,0,53.471,0.203,5.648,0.419,30.71,1.219,0.188,9.223,0,0.117,0
5 / 12 . ,0,53.647,0.21,5.588,0.411,30.719,1.175,0.189,9.256,0,0.125,0.002
