point ,phos_ox,sil_ox,tit_ox,alu_ox,cro_ox,mag_ox,cal_ox,man_ox,fer_ox,nic_ox,sod_ox,pot_ox,wt_phos_ox,wt_sil_ox,wt_tit_ox,wt_alu_ox,wt_cro_ox,wt_mag_ox,wt_cal_ox,wt_man_ox,wt_fer_ox,wt_nic_ox,wt_sod_ox,wt_pot_ox
1.1,0,48.715,1.873,9.32,0.094,14.627,19.049,0.124,4.933,0,1.313,0.008,141.943,53.083,79.865,101.961,152.826,99.993,40.304,56.077,70.937,71.844,74.692,61.979
1.2,0,48.405,1.957,9.418,0.075,14.655,19.223,0.116,4.914,0,1.348,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3,0,48.6,1.963,9.441,0.097,14.778,19.136,0.134,4.927,0,1.357,0.006,0,0,0,0,0,0,0,0,0,0,0,0
1.4,0,48.782,1.902,9.299,0.076,14.818,18.933,0.142,4.925,0,1.34,0.002,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,48.515,1.863,9.25,0.054,14.645,19.103,0.142,4.99,0,1.33,0.001,0,0,0,0,0,0,0,0,0,0,0,0
1.6,0,49.021,1.699,9.185,0.089,14.922,19.228,0.107,4.831,0,1.371,0.001,0,0,0,0,0,0,0,0,0,0,0,0
1.7,0,49.006,1.741,9.274,0.08,14.775,19.297,0.135,4.898,0,1.319,0.004,0,0,0,0,0,0,0,0,0,0,0,0
1.8,0,48.507,1.919,9.498,0.089,14.635,19.11,0.121,4.866,0,1.363,0,0,0,0,0,0,0,0,0,0,0,0,0
1.9,0,48.507,1.97,9.554,0.069,14.636,19.247,0.142,4.833,0,1.369,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1,0,48.664,1.908,9.467,0.072,14.652,19.02,0.14,4.874,0,1.369,0.008,0,0,0,0,0,0,0,0,0,0,0,0
1.11,0,48.924,1.675,9.086,0.106,14.771,19.298,0.134,4.881,0,1.369,0.008,0,0,0,0,0,0,0,0,0,0,0,0
1.12,0,49.063,1.584,9.04,0.12,14.862,19.171,0.124,4.813,0,1.349,0,0,0,0,0,0,0,0,0,0,0,0,0
1.13,0,49.079,1.635,9.036,0.101,14.974,19.183,0.134,4.847,0,1.357,0,0,0,0,0,0,0,0,0,0,0,0,0
1.14,0,49.194,1.614,9.059,0.107,14.766,19.05,0.143,4.826,0,1.344,0,0,0,0,0,0,0,0,0,0,0,0,0
1.15,0,49.223,1.566,9.065,0.124,14.796,19.171,0.135,4.875,0,1.325,0.002,0,0,0,0,0,0,0,0,0,0,0,0
1.16,0,49.081,1.521,9.062,0.14,14.817,19.12,0.139,4.796,0,1.327,0,0,0,0,0,0,0,0,0,0,0,0,0
1.17,0,49.264,1.528,9.014,0.13,14.907,19.207,0.139,4.818,0,1.363,0.004,0,0,0,0,0,0,0,0,0,0,0,0
1.18,0,49.389,1.492,7.182,0.176,15.575,21.677,0.12,4.401,0,0.489,0,0,0,0,0,0,0,0,0,0,0,0,0
1.19,0,48.982,1.623,7.323,0.129,15.419,21.613,0.141,4.458,0,0.487,0.002,0,0,0,0,0,0,0,0,0,0,0,0
1.2,0,49.308,1.546,7.231,0.128,15.661,21.738,0.112,4.416,0,0.518,0.01,0,0,0,0,0,0,0,0,0,0,0,0
1.21,0,49.918,1.082,7.159,0.177,16.143,21.604,0.1,3.885,0,0.593,0.009,0,0,0,0,0,0,0,0,0,0,0,0
3.1,0,49.601,1.359,6.975,0.17,15.498,21.67,0.107,4.465,0,0.572,0.006,0,0,0,0,0,0,0,0,0,0,0,0
3.2,0,61.316,0.867,25.182,0.011,1.727,5.366,0.078,3.847,0,1.005,0.06,0,0,0,0,0,0,0,0,0,0,0,0
3.3,0,49.344,1.561,9.152,0.1,14.962,19.43,0.12,4.737,0,1.372,0.011,0,0,0,0,0,0,0,0,0,0,0,0
3.4,0,49.267,1.533,9.145,0.095,14.839,19.318,0.112,4.712,0,1.4,0.009,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,49.059,1.513,9.096,0.097,14.851,19.272,0.107,4.875,0,1.387,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6,0,49.559,1.407,7.317,0.178,15.555,21.538,0.112,4.624,0,0.572,0.003,0,0,0,0,0,0,0,0,0,0,0,0
