point,phos_ox,sil_ox,tit_ox,alu_ox,cro_ox,mag_ox,cal_ox,man_ox,fer_ox,nic_ox,sod_ox,pot_ox
1.1,0,49.954,1.161,6.548,0.335,15.511,21.207,0.125,4.607,0,0.731,0
1.2,0,49.441,1.286,6.842,0.331,15.316,21.514,0.116,4.435,0,0.66,0.002
1.3,0,49.49,1.287,8.484,0.296,14.68,19.239,0.112,4.875,0,1.448,0.005
1.4,0,49.467,1.295,8.473,0.318,14.721,19.266,0.119,4.765,0,1.468,0.001
1.5,0,49.485,1.329,8.494,0.3,14.85,19.082,0.121,4.802,0,1.449,0.003
1.6,0,49.812,1.273,8.435,0.305,14.823,19.288,0.142,4.784,0,1.47,0.003
1.7,0,49.526,1.273,8.415,0.308,14.899,19.111,0.139,4.75,0,1.432,0.009
1.8,0,49.574,1.318,8.366,0.322,14.677,19.088,0.136,4.818,0,1.458,0.005
1.9,0,49.284,1.268,8.389,0.329,14.671,19.044,0.134,4.882,0,1.443,0
1.1_0,0,49.593,1.277,8.358,0.321,14.873,19.158,0.124,4.916,0,1.45,0
1.11,0,49.915,1.271,8.605,0.333,15.325,18.624,0.13,4.79,0,1.575,0.01
1.12,0,49.511,1.267,8.459,0.321,14.819,19.148,0.138,4.87,0,1.452,0.006
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,, ,,,,,,,,
