name,MnO,FeO,K2O,CaO,TiO2,Na2O,MgO,Al2O3,SiO2,Total
Syenite,0.19,3.95,4.41,2.26,1.05,7.45,1.27,17.1,60.8,98.48
Gabbro,0.14,9.73,0.31,10.47,1.2,2.51,9.59,17.59,46.9,98.44
Ol,0.49,23.95,0,0,0,0,38.07,0,37.54,100.05
Pl^2,0,0.24,0.23,11.76,0,4.43,0,29.45,53.19,99.3
Cpx,0.46,7.43,0,21.23,0.85,0.55,15.39,3.19,50.95,100.05
Pl (An 70)^3,0,0.23,0.08,14.04,0,3.29,0,31.39,50.01,99.04
Pl ( An 39)^3,0,0.21,0.57,7.63,0,6.61,0,25.2,59.07,99.29
Mag,0,90.51,0,0,3.54,0,0.5,0.77,0,95.32
Ilm,0,41.66,0,0,51.92,0,2.91,0.09,0,96.58
 ,,,,,,,,,,
